data,dow,usou_domingo,range_ant,estrategias_ia,confianca,motivo
2025-06-27,sexta,False,218.00,REV,0.85,Sexta-feira com range anterior grande (218pt) e nível de referência simples (RTH). REV tem taxa superior; não há indicador de volatilidade extrema ou padrão específico que justifique habilitar outra estratégia.
2025-06-30,segunda,True,129.00,REV,0.75,Segunda-feira com range de domingo/Globex; REV tem máxima confiança histórica. Range de 129pt é moderado — sem volatilidade extrema que justificasse ORB/EMAV/ICT. Manter só REV para não roubar slot.
2025-07-01,terça,False,153.75,REV,0.85,"Terça com range anterior de 153.75pt (tamanho normal), nível vem de RTH anterior (não carrega incerteza de Globex). REV é a estratégia validada; misturar outras só piora. Mantém concentração."
2025-07-02,quarta,False,253.75,REV,0.85,"Quarta-feira, range anterior normal (253.75pt), nível RTH padrão. REV é a mais consistente; não há padrão semanal anômalo que justifique misturar outras estratégias."
2025-07-03,quinta,False,203.50,REV,0.85,Quinta com range anterior amplo (203.50pt) indica volatilidade mantida; REV é a única com consistência validada. Sem sinal especial para habilitar alternativa que dividiria slots.
2025-07-04,sexta,False,172.25,REV,0.75,Sexta-feira pós-feriado (4 de julho) com range anterior de 172.25pt (moderado-baixo). REV é a estratégia validada; sem sinais de volatilidade anômala ou padrão semanal que justifique arrisco espaço com secundárias.
2025-07-07,segunda,True,114.00,REV,0.75,Segunda-feira com range Globex de 114pt (moderado). REV é suficiente; nenhum fator anômalo que justifique habilitar outra estratégia e perder espaço no limite de 12 trades/dia.
2025-07-08,terça,False,197.75,REV,0.75,"Terça normal, range anterior ~198pt (moderado). Nível vem de RTH simples. REV sozinha já tem maior taxa de aprovação; não há contexto anômalo que justifique habilitar reserva."
2025-07-09,quarta,False,121.75,REV,0.75,Quarta-feira comum com nível do dia RTH anterior (não vindo de fim de semana). Range anterior de 121.75pt é moderado. REV sozinha tem melhor taxa aprovada; sem sinal específico para habilitar outra estratégia.
2025-07-10,quinta,False,192.25,REV,0.85,Quinta-feira com range anterior robusto (192.25pt). REV é a única estratégia validada; nenhum indicador de condição especial que justifique reserva.
2025-07-11,sexta,False,188.75,REV,0.75,Sexta-feira com range anterior moderado (188.75pt). REV é consistente; nenhum fator contextual justifica arriscar espaço com segunda estratégia.
2025-07-14,segunda,True,87.50,REV,0.75,Segunda-feira com range Globex moderado (87.5pt). REV em produção é a estratégia validada. Sem sinais concretos de volatilidade extrema ou padrão específico que justifique misturar estratégias (histórico mostra que isto piora o resultado agregado roubando oportunidades de REV).
2025-07-15,terça,False,224.25,REV,0.85,"Terça-feira, range anterior normal (224.25pt), nível vindo do RTH anterior. REV tem comprovada superioridade; sem anomalia que justifique misturar outra estratégia."
2025-07-16,quarta,False,153.50,REV,0.85,"Quarta-feira, range anterior robusto (153.50pt) fornece níveis claros para REV operar. Sem indicadores de volatilidade extrema ou padrões atípicos; manter REV em solo."
2025-07-17,quinta,False,264.50,REV,0.85,Quinta-feira com range anterior saudável (264.50pt). REV é a estratégia validada; sem sinais de volatilidade extrema ou padrões especiais que justifiquem ativar reservas.
2025-07-18,sexta,False,214.00,REV,0.85,"Sexta-feira com range anterior robusto (214pt), nível simples do dia anterior. REV é suficiente; misturar outras estratégias historicamente piora resultado."
2025-07-20,domingo,False,140.50,REV,0.85,Domingo com range anterior moderado (140.50pt). REV sozinha é a estratégia validada; nível vem do dia anterior RTH (não é Globex noturna). Sem fatores que justifiquem adicionar outra estratégia — manter foco em REV.
2025-07-21,segunda,True,73.50,REV,0.75,Segunda-feira com range Globex de 73.50pt (moderado). REV é suficiente; misturar outras estratégias historicamente piora taxa de aprovação. Sem indicadores que justifiquem exceção.
2025-07-22,terça,False,175.00,REV,0.85,Terça com range anterior moderado (175pt). REV é validada; sem sinais de movimentação atípica que justifique habilitar ORB/EMAV/ICT como reserva.
2025-07-23,quarta,False,241.75,REV,0.75,Quarta-feira com range anterior moderado (241.75pt). REV é a estratégia validada; nenhum indicador específico do dia justifica adicionar reserva.
2025-07-24,quinta,False,177.00,REV,0.85,"Quinta-feira, range anterior moderado (177pt) e nível de referência claro (máx/mín RTH anterior). REV é consistentemente superior; sem motivo concreto para misturar outras estratégias."
2025-07-25,sexta,False,126.25,REV,0.75,Sexta-feira com range anterior de 126.25pt (moderado/baixo). REV é a baseline; sem sinais de volatilidade extrema ou padrão especial que justifique ativar reserva.
2025-07-28,segunda,True,62.50,REV,0.75,"Segunda-feira com range Globex (62.50pt moderado); REV é a estratégia validada. Sem evidência de volatilidade anormalmente alta ou contexto específico que justifique misturar outra estratégia — mantém só REV para não ""roubar"" espaço do limite de 12 trades."
2025-07-29,terça,False,92.25,REV,0.85,"Terça-feira, range anterior de 92.25pt (volatilidade moderada), nível vem do RTH do dia anterior. REV tem melhor taxa de aprovação; nenhum fator específico do dia justifica habilitar estratégias auxiliares."
2025-07-30,quarta,False,231.25,REV,0.85,"Quarta-feira, range anterior de 231.25pt (moderado), nível vem do RTH anterior. REV tem melhor taxa aprovada. Sem indicadores que justifiquem habilitar ORB/EMAV/ICT como reserva."
2025-07-31,quinta,False,233.00,REV,0.85,"Quinta-feira, range anterior de 233pt (volatilidade moderada-boa), nível vem do RTH anterior. REV é a estratégia com melhor taxa agregada; sem contexto anômalo que justifique habilitar reserva."
2025-08-01,sexta,False,446.50,REV,0.85,Sexta-feira com range anterior robusto (446.5pt) — REV sozinha é suficiente; volatilidade presente reduz necessidade de reserva.
2025-08-04,segunda,True,166.75,REV,0.75,Segunda-feira com range Globex de 166.75pt (moderado). REV sozinha tem melhor taxa histórica; sem sinais concretos de instabilidade extrema que justifiquem adicionar outra estratégia.
2025-08-05,terça,False,221.00,REV,0.75,"Terça normal, range anterior de 221pt (moderado-alto), nível vem do pregão anterior em RTH. REV é consistentemente superior; sem fatores específicos que justifiquem ativar secundárias."
2025-08-06,quarta,False,283.75,REV,0.85,"Quarta-feira, range anterior moderado-alto (283.75pt), nível vem do RTH do dia anterior. REV tem melhor taxa de aprovação; não há indicador concreto para ativar reserva."
2025-08-07,quinta,False,296.75,REV,0.85,"Quinta-feira com range anterior robusto (296.75pt), nível vem de RTH direto. REV sozinha é a estratégia validada; misturar reduziria sua taxa de acerto."
2025-08-08,sexta,False,342.00,REV,0.85,Sexta-feira com range anterior de 342pt (volatilidade normal/alta). REV é consistentemente superior; sem fatores excepcionais que justifiquem adicionar outra estratégia como reserva.
2025-08-11,segunda,True,72.00,REV,0.75,Segunda-feira com range de Globex (domingo). Range anterior de 72pt é moderado; sem sinais de volatilidade extrema ou padrão anômalo que justifique habilitar outra estratégia. REV sozinha é a aposta mais consistente.
2025-08-12,terça,False,217.00,REV,0.75,Terça com range anterior grande (217pt). REV sozinha tem melhor taxa de aprovação; não há sinal contexto para habilitar outras estratégias sem prejudicar a quota diária.
2025-08-13,quarta,False,328.00,REV,0.75,"Quarta-feira, range anterior de 328pt (moderado), nível do dia anterior (RTH). REV sozinha historicamente é a melhor. Sem sinais concretos de volatilidade anormal ou condições que favoreçam ORB/EMAV/ICT — manter foco em REV."
2025-08-14,quinta,False,182.50,REV,0.85,"Quinta-feira com range anterior robusto (182.5pt), nível RTH limpo. REV é a estratégia validada; não há sinal de volatilidade extrema ou padrão especial que justifique habilitar reserva."
2025-08-15,sexta,False,166.50,REV,0.85,Sexta-feira com range anterior significativo (166.50pt). REV validada e consistente; nenhum gatilho concreto para adicionar outra estratégia hoje.
2025-08-18,segunda,True,86.75,REV,0.85,Segunda-feira com nível do Globex (domingo à noite) e range anterior moderado (86.75pt). REV é a estratégia validada; sem motivo concreto para dilatar com outras estratégias.
2025-08-19,terça,False,105.25,REV,0.75,Terça com range anterior moderado (105.25pt). REV é a mais consistente; sem sinais específicos de volatilidade extrema ou padrão especial que justifique habilitar reservas.
2025-08-20,quarta,False,344.50,REV,0.85,"Quarta-feira, nível vem do RTH anterior (puro), range de 344.50pt é bem robusto. REV tem melhor taxa agregada; misturar outras estratégias historicamente piora. Manter foco."
2025-08-21,quinta,False,397.00,REV,0.75,"Quinta-feira com range anterior normal (397pt). Nível vem de máx/mín RTH, estrutura clara para REV. Sem catalisador específico que justifique abrir espaço para outra estratégia — mantém só REV."
2025-08-22,sexta,False,229.25,REV,0.75,Sexta-feira com range anterior robusto (229.25pt). REV é a estratégia validada; sem fatores específicos que justifiquem adicionar outra estratégia hoje.
2025-08-24,domingo,False,444.50,REV,0.85,Domingo com range anterior de 444.50pt (moderado). REV é o padrão mais confiável; sem sinais de volatilidade extrema ou mudança estrutural que justifique adicionar reserva.
2025-08-25,segunda,True,87.00,REV,0.75,Segunda-feira com range de domingo/Globex; range anterior 87pt é moderado. REV é mais confiável; sem sinais de volatilidade extrema que justifiquem adicionar reserva.
2025-08-26,terça,False,173.00,REV,0.75,Terça normal com range anterior moderado (173pt). REV é consistentemente superior; sem fatores específicos que justifiquem adicionar estratégias concorrentes.
2025-08-27,quarta,False,173.00,REV,0.85,"Quarta-feira, range anterior moderado (173pt), nível padrão RTH. REV é a estratégia validada; sem condições excepcionais que justifiquem adicionar reserva."
2025-08-28,quinta,False,170.00,REV,0.85,"Quinta-feira, range anterior de 170pt (moderado), nível vem de RTH do dia anterior. REV em máxima eficiência; sem razão técnica para adicionar outra estratégia que historicamente piora resultado agregado."
2025-08-29,sexta,False,231.25,REV,0.85,Sexta-feira com range anterior robusto (231.25pt). REV é validada; sem sinais de volatilidade anômala que justifiquem adicionar outra estratégia e fragmentar os 12 trades/dia.
2025-09-01,segunda,True,120.75,REV,0.75,"Segunda-feira com range Globex de 120.75pt (moderado). REV sozinha é o padrão validado; sem sinais concretos de mudança de regime, mantém-se apenas REV para máxima eficiência."
2025-09-02,terça,False,65.00,REV,0.85,"Terça comum, range anterior moderado (65pt), nível do dia anterior (RTH). REV é suficiente sem necessidade de reserva."
2025-09-03,quarta,False,265.00,REV,0.75,"Quarta-feira, range anterior de 265pt (tamanho razoável), nível do RTH anterior. REV é a estratégia validada; misturar outras historicamente piora. Manter só REV."
2025-09-04,quinta,False,207.00,REV,0.75,Quinta-feira com range anterior saudável (207pt). Nível vem do RTH do dia anterior — cenário clássico e conhecido para REV. Sem indicadores que justifiquem ativar outra estratégia hoje.
2025-09-05,sexta,False,270.25,REV,0.75,Sexta-feira com range anterior robusto (270.25pt); REV tem melhor taxa agregada. Sem indicadores que justifiquem misturar outras estratégias — manter foco.
2025-09-07,domingo,False,397.00,REV,0.85,"Domingo com range anterior de 397pt (moderado). REV é a estratégia validada; sem sinais específicos para ORB/EMAV/ICT, manter só REV evita competição pelo limite de 12 trades."
2025-09-08,segunda,True,141.00,REV,0.85,Segunda-feira com range de domingo à noite (volatilidade esperada). Range anterior de 141pt é moderado — REV em sua melhor configuração; sem sinal concreto para habilitar reserva.
2025-09-09,terça,False,128.00,REV,0.75,Terça com range anterior moderado (128pt). REV é validada e suficiente; sem fatores que justifiquem habilitar reserva.
2025-09-10,quarta,False,164.00,REV,0.75,Quarta-feira com range anterior considerável (164pt) garante níveis bem definidos para REV. Sem feriado ou evento específico que justifique ativar estratégias complementares; REV já tem máxima taxa de aprovação comprovada.
2025-09-11,quinta,False,219.50,REV,0.8,"Quinta-feira, range anterior normal (219.5pt). REV é sólida em dias de semana com volatilidade moderada. Sem razão para habilitar outras estratégias que historicamente pioram o resultado agregado."
2025-09-12,sexta,False,136.25,REV,0.85,"Sexta-feira com range anterior robusto (136.25pt), nível vem do dia anterior RTH. REV é a melhor opção; sem sinais que justifiquem habilitar outras estratégias."
2025-09-13,sábado,False,157.50,REV,0.85,"Sábado com range anterior moderado (157.50pt). REV é a única validada em alta taxa de acerto; sem contexto de abertura Globex ou setup específico que sugira ORB/EMAV/ICT, manter só REV para maximizar espaço de trades."
2025-10-02,quinta,False,,REV,0.85,"Primeiro dia do mês, sem histórico de range anterior. REV é a mais robusta; sem contexto de volatilidade anormal, manter só REV é a escolha mais segura."
2025-10-03,sexta,False,175.25,REV,0.85,Sexta-feira com range moderado (175.25pt) e nível vindo do RTH anterior. REV historicamente é a melhor opção; misturar com outras estratégias piora o resultado. Manter foco.
2025-10-05,domingo,False,244.75,REV,0.85,"Domingo com range RTH de 244.75pt (moderado). REV sozinha tem melhor taxa de aprovação; sem sinais concretos de condições extremas, manter só REV evita roubo de slots das 12 trades/dia."
2025-10-06,segunda,True,104.00,REV,0.85,"Segunda-feira com range do Globex; REV é validada. Range de 104pt é moderado, sem sinais de extrema volatilidade que justifique misturar estratégias. Manter foco em REV."
2025-10-07,terça,False,144.25,REV,0.85,Terça com range anterior moderado (144.25pt). REV validada; sem sinais concretos para habilitar ORB/EMAV/ICT como reserva hoje.
2025-10-08,quarta,False,280.00,REV,0.85,"Quarta-feira, range anterior 280pt (moderado), nível vem de RTH do dia anterior. REV é consistentemente superior em mix; sem indício específico para quebrar o padrão de manter só REV."
2025-10-09,quinta,False,270.25,REV,0.8,Quinta-feira com range anterior normal (270.25pt) e nível padrão (RTH). REV é a única validada; risco de ativar segunda estratégia não compensa.
2025-10-10,sexta,False,177.00,REV,0.85,Sexta-feira com range anterior grande (177pt) favorece REV pura. Sem indicadores de volatilidade extrema ou padrão especial que justifique habilitar reserva.
2025-10-13,segunda,True,313.50,REV,0.75,Segunda-feira com range Globex amplo (313.50pt); REV é validada e confiável. Sem evidências de cenário anômalo que justifique misturar outra estratégia.
2025-10-14,terça,False,240.50,REV,0.85,"Terça com range anterior robusto (240.5pt), nível RTH claro. REV é a melhor — sem motivo concreto para adicionar outras estratégias."
2025-10-15,quarta,False,526.50,REV,0.92,"Quarta-feira, range anterior de 526.50pt (acima da média), nível de RTH bem definido. REV tem validação consistente. Sem fatores que justifiquem quebrar a regra de manter só REV."
2025-10-16,quinta,False,451.75,REV,0.75,Quinta-feira com range anterior de 451.75pt (moderado-alto). REV validada consistentemente; misturar outras estratégias historicamente piora o resultado mesmo com volatilidade elevada.
2025-10-17,sexta,False,536.00,REV,0.75,Sexta-feira com range anterior moderado (536pt). REV é a estratégia validada e consistente. Sem razão concreta para ativar reservas hoje.
2025-10-19,domingo,False,383.25,REV,0.75,Domingo com range anterior de 383.25pt (volatilidade moderada). REV é a mais consistente; sem fatores que justifiquem habilitar outra estratégia como reserva hoje.
2025-10-20,segunda,True,143.50,REV,0.85,"Segunda-feira com range Globex de referência (143.50pt é moderado). REV sozinha tem melhor taxa agregada; sem sinais concretos de volatilidade extrema ou comportamento atípico, mantém-se a estratégia validada."
2025-10-21,terça,False,239.75,REV,0.85,"Terça normal, range anterior grande (239.75pt) oferece bom suporte a REV; nível de referência simples (máx/mín RTH anterior). Sem indícios de breakout ou gaps significativos que justifiquem habilitar ORB/EMAV/ICT."
2025-10-22,quarta,False,145.25,REV,0.85,"Quarta-feira, range anterior moderado (145.25pt), nível vem de RTH do dia anterior. REV sozinha é a estratégia mais consistente; sem sinais específicos de volatilidade extrema ou padrão atípico que justifique misturar outras estratégias."
2025-10-23,quinta,False,484.50,REV,0.75,Quinta-feira com range anterior robusto (484.5pt) — REV é suficiente e em produção; misturar outra estratégia historicamente piora resultado.
2025-10-24,sexta,False,289.00,REV,0.85,Sexta-feira com range anterior moderado (289pt). REV é mais consistente; sem gatilho específico para habilitar alternativas que dividiriam o limite de 12 trades/dia.
2025-10-26,domingo,False,141.00,REV,0.75,Domingo com range RTH médio (141pt) — manter REV como core. Sem sinais específicos para habilitar alternativas; risco de diluição com limite 12 trades/dia.
2025-10-27,segunda,True,73.00,REV,0.75,Segunda-feira com range moderado (73pt) do Globex. REV é a única consistentemente validada; misturar outras estratégias historicamente piora o resultado. Mantém apenas REV como principal.
2025-10-28,terça,False,184.75,REV,0.85,"Terça-feira, range anterior normal (184.75pt), nível de referência limpo (máx/mín RTH). REV é a estratégia validada; sem contexto anômalo que justifique dividir o limite de 12 trades/dia com outra estratégia."
2025-10-29,quarta,False,225.50,REV,0.85,"Quarta-feira, range anterior normal (225.50pt), nível simples do dia anterior RTH. REV consolidado é suficiente — não há padrão semanal que justifique misturar outras estratégias."
2025-10-30,quinta,False,277.25,REV,0.85,"Quinta-feira com range anterior grande (277.25pt) indica volatilidade significativa; REV tem taxa de aprovação comprovadamente superior. Nível vem de RTH do dia anterior (padrão), sem anomalias. Manter só REV é a escolha validada pelo histórico."
2025-10-31,sexta,False,304.25,REV,0.75,Sexta-feira com range anterior robusto (304.25pt); REV é validada. Sem razão concreta para ativar outra estratégia — mantém foco e espaço nos 12 trades/dia.
2025-11-03,segunda,True,110.25,REV,0.85,Segunda-feira com range do Globex (domingo à noite) como referência; range anterior de 110.25pt é moderado. REV é a estratégia validada e não há contexto que justifique misturar outras estratégias que historicamente roubam espaço dela no limite de 12 trades/dia.
2025-11-04,terça,False,250.50,REV,0.85,Terça com range anterior robusto (250pt) e nível simples do dia anterior. REV em seu melhor cenário; sem indicadores que justifiquem habilitar reserva.
2025-11-05,quarta,False,349.50,REV,0.85,Quarta-feira com range anterior moderado (349.50pt) e nível de referência simples (máx/mín RTH anterior). REV é consistente; nenhuma evidência concreta para habilitar alternativas.
2025-11-06,quinta,False,392.00,REV,0.85,Quinta-feira com range RTH anterior moderado (392pt). REV sozinha tem melhor taxa agregada; sem indício de breakout ou gap relevante que justifique habilitar ORB/EMAV/ICT como reserva.
2025-11-07,sexta,False,488.00,REV,0.75,Sexta-feira com range anterior grande (488pt) e nível vindo do RTH anterior. REV com bom potencial; sem sinais para adicionar secundária.
2025-11-09,domingo,False,458.25,REV,0.85,Domingo com range anterior de 458.25pt (tamanho moderado). REV é a única validada; nível vem de RTH do sábado (não há overlap de Globex). Sem sinais específicos para habilitar outras estratégias.
2025-11-10,segunda,True,220.00,REV,0.75,Segunda-feira com range de domingo à noite (220pt moderado); REV é a única validada. Misturar outras estratégias reduz performance histórica.
2025-11-11,terça,False,308.50,REV,0.85,"Terça com range anterior grande (308.50pt) indica volatilidade persistente; REV sozinha tem melhor taxa histórica. Nível vem de RTH (máx/mín do dia anterior), cenário padrão onde REV já está otimizada. Sem indício concreto para habilitar outra estratégia."
2025-11-12,quarta,False,217.75,REV,0.85,"Quarta-feira, range anterior robusto (217.75pt), nível vem de RTH anterior. REV sozinha tem melhor taxa de aprovação; não há contexto que justifique adicionar outra estratégia como reserva."
2025-11-13,quinta,False,293.00,REV,0.85,Quinta-feira com range anterior normal (293pt). REV é a estratégia mais consistente e não há contexto atípico que justifique habilitar alternativas que historicamente reduzem o win rate agregado.
2025-11-14,sexta,False,499.50,REV,0.85,Sexta-feira com range anterior acima de 400pt (499.50pt indica volatilidade bem estabelecida). REV é suficiente — não há indício que justifique habilitar reserva.
2025-11-16,domingo,False,667.25,REV,0.75,Domingo com range anterior moderado (667pt); REV é a estratégia consistentemente melhor. Nenhum fator concreto justifica adicionar outras estratégias hoje.
2025-11-17,segunda,True,262.75,REV,0.75,Segunda-feira com range Globex (262.75pt). REV validada; outras estratégias historicamente reduzem taxa de aprovação. Sem sinais concretos para habilitar reserva.
2025-11-18,terça,False,522.25,REV,0.85,Terça com range anterior robusto (522.25pt). REV validada historicamente; nenhum padrão semanal ou volatilidade anômala justifica dilatar com outra estratégia.
2025-11-19,quarta,False,455.75,REV,0.85,"Quarta-feira, range anterior moderado-alto (455.75pt), nível de máx/mín RTH padrão. REV sozinha continua sendo a melhor opção; sem volatilidade extrema ou condição anômala que justifique habilitar reserva."
2025-11-20,quinta,False,481.00,REV,0.75,Quinta-feira com range anterior de 481pt (moderado). REV é a estratégia validada. Sem condições especiais que justifiquem habilitar reserva.
2025-11-21,sexta,False,1212.00,REV,0.85,"Sexta-feira com range anterior considerável (1212pt), nível vem do RTH da quinta. REV em produção, validada. Sem sinais que justifiquem adicionar outra estratégia."
2025-11-23,domingo,False,669.00,REV,0.85,"Domingo com range anterior de 669pt (moderado). REV é a estratégia validada. Nível vem do RTH (não Globex), sem sinais específicos que justifiquem adicionar ORB/EMAV/ICT como reserva."
2025-11-24,segunda,True,151.25,REV,0.85,Segunda-feira com range de domingo à noite bem definido (151.25pt). REV é mais confiável neste cenário; volatilidade moderada não justifica adicionar outras estratégias que competem pelo mesmo limite de 12 trades.
2025-11-25,terça,False,476.75,REV,0.85,"Terça normal, range anterior de 476.75pt (moderado), nível vem de máx/mín RTH do dia anterior. REV sozinha é a mais consistente; sem fatores específicos que justifiquem ativar reserva hoje."
2025-11-26,quarta,False,533.25,REV,0.85,Quarta-feira com range anterior sólido (533.25pt) e nível limpo do RTH anterior. REV tem histórico comprovado; sem sinais concretos para ativar reserva.
2025-11-27,quinta,False,242.25,REV,0.85,Quinta-feira com range anterior acima da média (242.25pt). REV tem máxima taxa de aprovação agregada; misturar outras estratégias historicamente piora resultado. Range sólido garante níveis claros para REV.
2025-11-28,sexta,False,32.00,REV,0.75,Sexta-feira com range anterior moderado (32pt). REV é a única validada consistentemente; sem contexto específico que justifique habilitar outra estratégia. Manter foco.
2025-12-01,segunda,True,318.75,REV,0.75,"Segunda-feira com range de domingo/Globex (padrão esperado). Range anterior de 318.75pt é moderado, sem extremos. REV sozinha é mais segura; não há justificativa concreta para adicionar outra estratégia hoje."
2025-12-02,terça,False,286.50,REV,0.85,"Terça-feira com range anterior grande (286.50pt) indica volatilidade, REV é mais robusta em dias assim. Nível vem de RTH padrão, sem fatores anômalos. Manter só REV."
2025-12-03,quarta,False,255.50,REV,0.85,"Quarta-feira, range anterior grande (255.50pt) indica volatilidade estruturada; REV sozinha é a única validada consistentemente. Sem contexto que justifique misturar outras estratégias."
2025-12-04,quinta,False,255.25,REV,0.85,"Quinta-feira com range anterior grande (255.25pt) indica volatilidade confirmada; REV aproveita bem esses níveis consolidados. Sem contexto extraordinário (segunda pós-fim de semana, evento econômico maior, etc), mantém-se a estratégia validada."
2025-12-05,sexta,False,224.25,REV,0.85,"Sexta-feira, range anterior grande (224.25pt) favorece REV clássica. Nível vem do RTH anterior (previsível). Sem informação que justifique misturar outras estratégias — manter foco na melhor taxa."
2025-12-08,segunda,True,103.00,REV,0.85,Segunda-feira com range de domingo/Globex (nível bem definido) e volatilidade moderada (103pt). REV é ideal para explorar rejeições em máximas/mínimas. Sem razão concreta para misturar outras estratégias e prejudicar o espaço dos 12 trades diários.
2025-12-09,terça,False,296.00,REV,0.85,"Terça-feira com range anterior normal (296pt), nível vem de RTH regular. REV sozinha historicamente melhor; não há contexto excepcional que justifique ativar outras estratégias."
2025-12-10,quarta,False,175.75,REV,0.85,"Quarta-feira, range anterior moderado (175.75pt), nível vem de RTH do dia anterior. Condições normais para REV. Sem indicadores anormais que justifiquem ativar reserva."
2025-12-11,quinta,False,342.00,REV,0.75,Quinta-feira com range anterior moderado (342pt); REV tem histórico de melhor aprovação. Sem sinais específicos que justifiquem adicionar outra estratégia que comprometeria espaço de trades.
2025-12-12,sexta,False,332.50,REV,0.85,Sexta-feira com range anterior robusto (332.50pt). REV é a estratégia validada; sem indicadores de volatilidade anormal ou padrão específico que justifique ativar reserva. Manter foco na REV.
2025-12-14,domingo,False,501.50,REV,0.85,"Domingo com range anterior grande (501.5pt); REV é a única validada. Sem contexto de gap de domingo-Globex, mantém-se o nível RTH. Melhor não arriscar com secundárias."
2026-01-02,sexta,False,,REV,0.75,"Primeira sexta do ano, sem dados de range anterior. REV é a única validada; misturar outras estratégias historicamente piora resultado. Manter apenas REV como padrão."
2026-01-04,domingo,False,538.50,REV,0.75,Domingo com range anterior médio (538.50pt); REV é mais confiável. Sem sinais que justifiquem misturar outras estratégias hoje.
2026-01-05,segunda,True,85.25,REV,0.75,Segunda-feira com range anterior moderado (85.25pt) e nível vindo de Globex de domingo. REV é suficiente; sem sinais de volatilidade extrema ou padrão específico que justifique adicionar reserva.
2026-01-06,terça,False,169.50,REV,0.75,Terça com range anterior moderado (169.5pt). Sem contexto de gap/domingo ou condições anômalas. REV validada é a melhor opção; adicionar outra estratégia historicamente piora o resultado.
2026-01-07,quarta,False,229.75,REV,0.75,Quarta-feira com range anterior robusto (229.75pt). REV em produção com melhor taxa de aprovação; sem sinais específicos de ineficiência que justifiquem habilitar ORB/EMAV/ICT como reserva.
2026-01-08,quinta,False,225.25,REV,0.85,"Quinta-feira com range anterior de 225.25pt (moderado); nível de referência é RTH limpo (não há transição Sunday-Globex); REV sozinha tem taxa de aprovação consistentemente superior, e não há contexto anômalo que justifique risco de reserva."
2026-01-09,sexta,False,234.00,REV,0.85,Sexta-feira com range anterior moderado (234pt). REV é consistentemente superior; sem sinal de volatilidade anormal ou padrão semanal específico que justifique adicionar outra estratégia.
2026-01-11,domingo,False,370.00,REV,0.85,Domingo à noite com range RTH moderado (370pt). REV é a única validada; sem indicadores de volatilidade extrema ou padrão anômalo que justifique arriscar espaço de trades com outras estratégias.
2026-01-12,segunda,True,249.75,REV,0.85,Segunda-feira com range Globex de 249.75pt (moderado). REV é suficiente e historicamente mais confiável; sem sinais de volatilidade anômala que justifiquem adicionar outra estratégia como reserva.
2026-01-13,terça,False,286.50,REV,0.75,Terça com range anterior de 286.50pt (moderado). REV sozinha é a melhor opção — nenhuma condição hoje justifica habilitar ORB/EMAV/ICT como reserva.
2026-01-14,quarta,False,239.50,REV,0.75,"Quarta-feira com range anterior grande (239.50pt) e nível vindo de RTH anterior — ambiente volatilidade acentuada favorece REV, a estratégia mais testada e consistente. Sem indicador específico de anomalia, mantém-se só REV para evitar competição pelos 12 trades/dia."
2026-01-15,quinta,False,369.50,REV,0.85,"Quinta normal, range anterior robusto (369.50pt) fornece bons níveis para REV; sem anomalias que justifiquem mesclar outras estratégias."
