data,hora,lado,nivel,dist_nivel,usou_domingo,decisao_ia,confianca,motivo
2025-06-17,13:44,LONG,22012.00,5.25,False,RECUSA,0.65,"Toque com distância excessiva (5.25pt) do nível, indicando rejeição pouco precisa e maior risco de falso sinal em horário de baixa liquidez (13:44 ET)."
2025-06-18,14:58,LONG,21909.50,9.75,False,RECUSA,0.68,"Distância de 9.75pt até a linha é muito grande, indicando toque impreciso/sem rejeição limpa do nível anterior, apesar do horário e origem serem favoráveis."
2025-06-18,14:59,LONG,21909.50,5.50,False,ACEITA,0.62,"Nível é a mínima do dia anterior (RTH, mais confiável que Globex), horário dentro do pregão regular, distância de 5.5pt e fechamento 5.5pt acima da linha mostram rejeição clara."
2025-06-18,15:00,LONG,21909.50,8.00,False,RECUSA,0.65,"Distância de 8pt do nível é excessiva, indicando toque impreciso e rejeição pouco clara, além do horário (15h ET) já estar próximo do fim do RTH com menor liquidez para reversão."
2025-06-18,15:02,LONG,21909.50,5.25,False,RECUSA,0.65,"Distância de 5,25pt do nível é excessiva, indicando rompimento/teste fraco em vez de rejeição precisa, além do horário tardio (15h ET) reduzir a qualidade estatística do sinal."
2025-06-20,11:01,SHORT,21786.75,5.25,False,RECUSA,0.6,"Distância de 5.25pt do nível é excessiva, indicando rejeição pouco precisa e maior risco de sinal espúrio, agravado pelo horário (sexta 11:01 ET, fora dos períodos mais líquidos de abertura)."
2025-06-20,11:04,SHORT,21786.75,0.25,False,ACEITA,0.72,"Toque muito preciso (0.25pt) na máxima do dia anterior (nível confiável, não Globex), com fechamento rejeitando abaixo da linha, em horário líquido (11h ET) numa sexta-feira normal."
2025-06-20,13:34,SHORT,21786.75,1.50,False,ACEITA,0.68,"Nível é máxima do dia anterior (RTH, mais confiável que Globex), toque próximo (1.5pt) e fechamento já abaixo da linha confirmando rejeição, em horário líquido de sessão regular."
2025-06-20,13:37,SHORT,21786.75,2.75,False,ACEITA,0.68,"Nível do dia anterior (RTH, mais confiável que Globex), toque com distância pequena (2.75pt) e fechamento claramente abaixo da linha confirmando rejeição, dentro do horário líquido de sessão regular."
2025-06-20,13:39,SHORT,21786.75,10.50,False,RECUSA,0.68,"Distância de 10.5pt do nível é excessiva para uma rejeição confiável, indicando furo/overshoot ao invés de teste limpo da linha; sexta à tarde também tende a ter comportamento mais errático."
2025-06-23,09:35,SHORT,21787.00,3.00,True,RECUSA,0.68,"Nível de domingo à noite (Globex) é mais espúrio, e às 09:35 ET já estamos na abertura regular com volatilidade distorcendo o range fino da noite anterior; distância de 3pt é insuficiente para confirmar rejeição robusta nesse contexto."
2025-06-25,11:34,SHORT,22448.25,14.50,False,RECUSA,0.68,"Distância de 14,5pt até a linha é excessiva, indicando rompimento/extensão além do nível e não uma rejeição limpa na linha, mesmo com fechamento abaixo dela."
2025-06-25,11:41,SHORT,22448.25,6.50,False,RECUSA,0.65,"Distância de 6,5pt do nível é excessiva, indicando rompimento/teste com folga e não rejeição precisa na linha, reduzindo a confiabilidade do sinal."
2025-06-25,11:43,SHORT,22448.25,5.50,False,RECUSA,0.65,"Distância de 5,5pt até a linha é excessiva, indicando toque impreciso/sem rejeição limpa no nível, apesar de horário e origem do nível serem favoráveis."
2025-06-25,11:47,SHORT,22448.25,6.00,False,RECUSA,0.62,"Distância de 6pt do nível é grande, indicando rejeição pouco precisa na linha; sinal fraco apesar de fechamento abaixo do nível."
2025-06-25,11:59,SHORT,22448.25,4.50,False,ACEITA,0.68,"Nível do dia anterior (mais confiável que Globex), horário dentro do pregão regular, distância de 4,5pt e fechamento 4,5pt abaixo do nível indicam rejeição clara com boa vela de confirmação."
2025-06-25,12:06,SHORT,22448.25,1.25,False,ACEITA,0.68,"Nível do dia anterior (RTH, mais confiável que Globex), toque preciso a 1.25pt da linha, vela fecha rejeitando abaixo do nível, e horário dentro do pregão regular com liquidez adequada."
2025-06-25,12:07,SHORT,22448.25,1.75,False,ACEITA,0.72,"Nível é máxima do dia anterior (não é Globex), horário dentro do pregão regular, distância pequena (1.75pt) e fechamento abaixo da linha confirmando rejeição clara."
2025-06-25,12:09,SHORT,22448.25,8.75,False,RECUSA,0.65,"Distância de 8.75pt do nível é grande demais, indicando toque pouco preciso e menor probabilidade de rejeição limpa."
2025-06-25,12:14,SHORT,22448.25,5.50,False,RECUSA,0.65,"Distância de 5.50pt até a linha é grande, indicando toque impreciso e rejeição pouco limpa apesar do horário e nível serem favoráveis (RTH, quarta, meio do dia)."
2025-06-25,12:19,SHORT,22448.25,7.50,False,RECUSA,0.65,"Distância de 7.5pt do nível é excessiva, indicando toque impreciso/sem rejeição limpa na linha, apesar do fechamento ter recuado bem."
2025-06-25,12:33,SHORT,22448.25,8.00,False,RECUSA,0.65,"Distância de 8pt do nível é muito grande, indicando toque impreciso e rejeição já parcialmente diluída antes de tocar a linha."
2025-06-25,12:57,SHORT,22448.25,5.00,False,ACEITA,0.68,"Nível de dia anterior (RTH, mais confiável que Globex), horário de sessão regular, distância de 5pt e fechamento claramente abaixo da linha confirmam rejeição válida."
2025-06-25,13:00,SHORT,22448.25,5.50,False,RECUSA,0.65,"Distância de 5,5pt até a linha é grande demais, indicando rejeição pouco precisa e maior risco de sinal falso, mesmo com fechamento abaixo do nível."
2025-06-25,13:16,SHORT,22448.25,3.50,False,ACEITA,0.68,"Nível é máxima do dia anterior (mais confiável que Globex), horário dentro do RTH, distância de 3.5pt razoável e vela fechou com rejeição clara abaixo da linha (22444.75 vs 22448.25)."
2025-06-25,13:19,SHORT,22448.25,3.75,False,ACEITA,0.68,"Nível é máx/mín do dia anterior RTH (mais confiável que Globex), horário dentro do pregão regular, distância de 3.75pt do nível é razoável e a vela fechou rejeitando claramente abaixo da linha (22444.50 vs 22448.25)."
2025-06-25,13:32,SHORT,22448.25,3.00,False,ACEITA,0.68,"Nível é o dia anterior (RTH, não Globex), horário dentro da sessão regular ativa, distância de 3pt e fechamento 3pt abaixo do nível mostram rejeição clara da linha."
2025-06-25,15:09,SHORT,22448.25,4.25,False,ACEITA,0.68,"Nível do dia anterior (RTH, mais confiável que Globex), horário líquido (15:09 ET), toque com distância razoável (4.25pt) e fechamento claro de rejeição abaixo da linha (22444 vs 22448.25)."
2025-06-25,15:17,SHORT,22448.25,2.25,False,ACEITA,0.7,"Nível de dia anterior (não-Globex), toque próximo à linha (2.25pt) com fechamento claramente rejeitando abaixo do nível, em horário de liquidez razoável (15:17 ET), meio de semana."
2025-06-25,15:19,SHORT,22448.25,3.50,False,ACEITA,0.68,"Nível de dia anterior (não Globex), horário líquido de RTH, distância de 3.5pt e vela fechando bem abaixo do nível mostram rejeição clara."
2025-06-25,15:30,SHORT,22448.25,7.75,False,ACEITA,0.68,"Nível é máxima do dia anterior (RTH, mais confiável que Globex), horário líquido (15:30 ET), e a vela fechou com rejeição clara 7.75pt abaixo do toque, indicando reversão consistente."
2025-06-25,15:44,SHORT,22448.25,4.25,False,ACEITA,0.68,"Nível é dia anterior RTH (mais confiável que Globex), horário ainda dentro do pregão regular, distância de 4.25pt e fechamento 4.25pt abaixo da linha mostram rejeição clara."
2025-06-25,15:46,SHORT,22448.25,9.00,False,RECUSA,0.68,"Toque com distância excessiva (9pt) do nível do dia anterior, indicando penetração forte sem rejeição limpa na linha, apesar do fechamento abaixo do nível."
2025-06-25,15:51,SHORT,22448.25,5.25,False,ACEITA,0.68,"Nível é a máxima do dia anterior (RTH, mais confiável que Globex), horário ainda dentro da sessão regular, rejeição clara com fechamento 5,25pt abaixo da linha mostrando força vendedora."
2025-06-25,15:54,SHORT,22448.25,1.25,False,ACEITA,0.68,"Nível é o dia anterior normal (mais confiável que Globex), toque próximo (1.25pt) com rejeição clara fechando abaixo da linha, dentro do horário líquido de RTH."
2025-06-25,15:56,SHORT,22448.25,0.75,False,ACEITA,0.68,"Toque preciso (0.75pt) no nível do dia anterior RTH, com fechamento rejeitando abaixo da linha, em horário líquido de RTH."
2025-06-25,15:58,SHORT,22448.25,3.00,False,RECUSA,0.7,"Sinal às 15:58 ET está muito próximo do fechamento do RTH (16:00), com pouco tempo para desenvolvimento do movimento e maior risco de reversão espúria em baixa liquidez de final de pregão."
2025-06-26,09:33,SHORT,22548.25,9.75,False,RECUSA,0.65,"Distância de 9,75pt do nível é grande, indicando toque pouco preciso e rejeição menos confiável, apesar do horário e nível (dia anterior RTH) serem favoráveis."
2025-06-26,09:35,SHORT,22548.25,13.25,False,RECUSA,0.72,"Distância de 13.25pt até a linha é excessiva (maior que o stop de 12.5pt), indicando que o toque já superou o nível com folga e o fechamento a favor pode ser apenas continuação de momentum, não rejeição limpa."
2025-06-26,10:00,SHORT,22548.25,4.50,False,ACEITA,0.68,"Nível é máxima do dia anterior (RTH, não Globex), horário de sessão regular ativa, distância de rejeição de 4.50pt é razoável e o fechamento confirma rejeição clara abaixo da linha."
2025-06-26,10:07,SHORT,22548.25,4.75,False,RECUSA,0.62,"Distância de 4,75pt além da linha é grande demais para uma rejeição limpa, indicando possível rompimento real e não apenas teste do nível."
2025-06-26,10:09,SHORT,22548.25,0.25,False,ACEITA,0.72,"Toque muito preciso (0.25pt) no nível do dia anterior, vela fecha rejeitando abaixo da linha, horário de sessão regular ativa (10:09 ET) e não é range espúrio de Globex."
2025-06-27,14:19,SHORT,22694.00,0.75,False,ACEITA,0.68,"Toque preciso (0.75pt) no nível de máxima do dia anterior RTH, com fechamento abaixo da linha confirmando rejeição, em horário líquido de sexta-feira."
2025-06-27,14:21,SHORT,22694.00,4.25,False,ACEITA,0.65,"Nível é o dia anterior (RTH, mais confiável que Globex), distância de 4.25pt é razoável e a vela fechou claramente rejeitando abaixo da linha, embora sexta à tarde reduza um pouco a convicção pela menor liquidez/momentum residual."
2025-06-27,14:23,SHORT,22694.00,13.50,False,RECUSA,0.68,"Distância de 13.5pt até a linha é excessiva (maior que o próprio stop de 12.5pt), indicando toque não preciso/rejeição fraca no nível, apesar do fechamento distante sugerir alguma força vendedora."
2025-06-27,14:24,SHORT,22694.00,4.00,False,ACEITA,0.65,"Nível do dia anterior (não Globex), toque com rejeição clara (4pt além da linha, fechamento 4pt abaixo dela), horário ainda dentro da sessão regular ativa (14:24 ET), sexta-feira pode ter volume reduzido no fim do dia mas ainda é cedo o suficiente para validade do sinal."
2025-06-27,14:27,SHORT,22694.00,0.50,False,ACEITA,0.72,"Toque preciso (0.5pt) no nível do dia anterior (não Globex), com fechamento rejeitando abaixo da linha, em horário líquido de RTH."
2025-06-27,15:34,SHORT,22694.00,4.75,False,RECUSA,0.65,"Sexta à tarde (15:34 ET), próximo do fechamento semanal, com liquidez decrescente e maior chance de movimento errático; distância de rejeição de 4.75pt é razoável mas o contexto de fim de semana/sexta tarde aumenta o risco de reversão falsa."
2025-06-27,15:37,SHORT,22694.00,3.75,False,RECUSA,0.68,"Sexta-feira final de tarde (15:37 ET), horário de baixa liquidez e alta chance de movimentos erráticos pré-fechamento semanal, mesmo com rejeição válida do nível."
2025-06-30,09:31,SHORT,22880.50,10.50,True,RECUSA,0.72,"Nível de Globex (domingo à noite) é mais espúrio, e às 09:31 ET já é abertura do pregão regular, quando o range noturno perde relevância; distância de 10.5pt também é grande para uma rejeição confiável nesse nível."
2025-06-30,15:22,SHORT,22880.50,3.25,True,RECUSA,0.68,"Nível de Globex (domingo à noite) é mais espúrio, toque com distância elevada (3.25pt) e horário já avançado (15:22 ET), reduzindo a confiabilidade da rejeição."
2025-06-30,15:24,SHORT,22880.50,3.75,True,RECUSA,0.68,"Nível de Globex (domingo à noite) é mais espúrio, e distância de 3.75pt é grande demais para uma rejeição confiável no toque."
2025-06-30,15:30,SHORT,22880.50,3.25,True,RECUSA,0.68,"Nível é range de domingo à noite (Globex), mais espúrio, e a distância de 3.25pt do toque à linha é grande, indicando rejeição fraca; horário de meio de tarde em segunda-feira reforça baixa qualidade do sinal."
2025-06-30,15:32,SHORT,22880.50,4.25,True,RECUSA,0.68,"Nível de Globex (domingo à noite) é mais espúrio e o horário (15:32 ET) já está fora da janela mais líquida, aumentando risco de falso rompimento apesar da rejeição."
2025-06-30,15:36,SHORT,22880.50,1.25,True,RECUSA,0.68,"Nível Globex de domingo é mais espúrio, e horário 15:36 ET já é fora do pico de liquidez, aumentando risco de falso rompimento apesar da rejeição próxima."
2025-06-30,15:38,SHORT,22880.50,9.75,True,RECUSA,0.72,"Nível de domingo à noite (Globex) é mais espúrio, e a distância de 9.75pt até a linha é excessiva, indicando toque impreciso e menor confiabilidade da rejeição."
2025-06-30,15:40,SHORT,22880.50,6.75,True,RECUSA,0.7,"Nível de domingo à noite (Globex) é mais espúrio, horário já avançado (15:40) e distância de rejeição de 6.75pt é relativamente grande, reduzindo a qualidade do sinal."
2025-07-01,09:44,LONG,22781.00,8.00,False,ACEITA,0.65,"Nível é do dia anterior (RTH, mais confiável que Globex), horário dentro da janela ativa de manhã, vela fechou com rejeição clara 8pt acima do nível tocado."
2025-07-01,10:23,LONG,22781.00,9.50,False,RECUSA,0.68,"Distância de 9.5pt até a linha é excessiva, indicando rejeição pouco precisa e maior risco de falso sinal."
2025-07-01,10:26,LONG,22781.00,7.00,False,ACEITA,0.68,"Nível do dia anterior (RTH, mais confiável que Globex), horário dentro da sessão principal, distância de 7pt razoável e fechamento 7pt acima da linha mostrando rejeição clara."
2025-07-02,11:06,SHORT,22848.25,8.00,False,RECUSA,0.65,"Distância de 8pt até a linha é muito grande, indicando que o toque não foi uma rejeição precisa do nível, reduzindo a qualidade do sinal."
2025-07-02,11:10,SHORT,22848.25,15.00,False,RECUSA,0.68,"Distância de 15pt até a linha é excessiva, indicando penetração forte e vela de rejeição pouco convincente perto do nível, mesmo com fechamento abaixo."
2025-07-02,12:26,SHORT,22848.25,10.25,False,RECUSA,0.68,"Distância de 10.25pt até a linha é grande, indicando penetração excessiva/vela de sinal muito extensa, o que sugere rejeição pouco precisa e maior risco de falso sinal, mesmo com nível de dia anterior (mais confiável que Globex) e horário de meio de sessão."
2025-07-02,12:40,SHORT,22848.25,5.00,False,ACEITA,0.68,"Nível é máxima do dia anterior (RTH, mais confiável que Globex), horário líquido (12:40 ET), distância de 5pt e fechamento 5pt abaixo da linha mostram rejeição clara."
2025-07-02,12:43,SHORT,22848.25,10.00,False,RECUSA,0.68,"Distância de 10pt do nível é excessiva, indicando toque impreciso/pavio distante em vez de rejeição limpa na linha, reduzindo a qualidade do sinal."
2025-07-02,13:01,SHORT,22848.25,10.50,False,RECUSA,0.68,"Distância de 10,5pt até a linha é excessiva, indicando penetração profunda antes da rejeição, o que reduz a qualidade do sinal de reversão."
2025-07-02,15:03,SHORT,22848.25,5.25,False,ACEITA,0.68,"Nível do dia anterior (RTH, mais confiável que Globex), horário líquido (15:03 ET), toque com distância razoável (5.25pt) e fechamento claramente abaixo da linha indicando rejeição consistente."
2025-07-02,15:55,SHORT,22848.25,2.00,False,ACEITA,0.68,"Nível de dia anterior (RTH, mais confiável que Globex), toque com distância pequena (2pt) e fechamento claramente rejeitando abaixo da linha, em horário líquido de sessão regular."
2025-07-02,15:59,SHORT,22848.25,1.50,False,ACEITA,0.65,"Toque próximo à linha (1.5pt) com fechamento claramente abaixo do nível (rejeição válida), nível é do dia anterior (mais confiável que Globex) e horário ainda dentro do RTH, sem ser muito tardio."
2025-07-04,09:57,LONG,22930.25,2.50,False,RECUSA,0.65,"Sexta 4 de julho, sessão de feriado com liquidez reduzida e volume anômalo, aumentando risco de movimento espúrio apesar do toque válido no nível do dia anterior."
2025-07-04,10:30,LONG,22930.25,2.00,False,RECUSA,0.65,"Sexta pós-feriado (04/07) com liquidez reduzida e horário próximo do fechamento antecipado do mercado americano, aumentando risco de movimento espúrio apesar da rejeição válida."
2025-07-04,10:52,LONG,22930.25,4.25,False,RECUSA,0.68,"Sexta 04/07 (véspera de feriado, liquidez reduzida) e distância de 4,25pt do nível é grande, indicando rejeição pouco precisa na linha."
2025-07-04,11:04,LONG,22930.25,4.25,False,RECUSA,0.68,"Sexta 04/07 é dia de feriado/liquidez reduzida nos EUA (Independence Day), volume fino aumenta risco de movimento espúrio apesar da rejeição válida e distância aceitável."
2025-07-04,11:07,LONG,22930.25,5.75,False,RECUSA,0.68,"Sexta pós-feriado (4 de julho, half-day/baixa liquidez) e distância de 5,75pt do nível é grande, sugerindo rejeição fraca e maior risco de whipsaw."
2025-07-04,11:31,LONG,22930.25,3.00,False,RECUSA,0.68,"Sexta pós-feriado (04/07) com liquidez reduzida e sessão half-day nos EUA, horário próximo ao almoço (11:31 ET) tende a ter movimento errático; apesar da rejeição clara (fechamento 3pt acima do nível), o contexto de baixa liquidez aumenta risco de falso rompimento."
2025-07-04,11:41,LONG,22930.25,2.75,False,RECUSA,0.68,"Sexta pós-feriado (04/07), liquidez reduzida e sessão de meio-dia (11:41), com distância de rejeição pequena (2.75pt) - risco de sinal espúrio por baixo volume."
2025-07-04,12:00,LONG,22930.25,4.00,False,RECUSA,0.75,"Sexta 4 de julho, feriado nos EUA com liquidez reduzida e volume anormal, aumentando risco de sinais espúrios apesar da rejeição válida."
2025-07-04,12:24,LONG,22930.25,0.25,False,RECUSA,0.65,"Sexta feriado curto (4 de julho), liquidez reduzida e horário de almoço, aumentando risco de sinal espúrio apesar da rejeição limpa."
2025-07-07,09:34,LONG,22914.50,8.25,True,RECUSA,0.68,"Nível de Globex (domingo à noite) é mais espúrio, distância de 8.25pt do toque à linha é grande para uma rejeição precisa, reduzindo a qualidade do sinal."
2025-07-07,09:35,LONG,22914.50,11.75,True,RECUSA,0.72,"Nível de domingo à noite (Globex) é mais espúrio, distância de toque grande (11.75pt) e horário já dentro do pregão regular, reduzindo a confiabilidade da rejeição."
2025-07-07,10:15,LONG,22914.50,3.00,True,RECUSA,0.68,"Nível de domingo à noite (Globex) é mais espúrio, e às 10:15 ET já está fora da janela de abertura, reduzindo a confiabilidade da rejeição apesar do fechamento acima da linha."
2025-07-07,10:35,LONG,22914.50,4.75,True,RECUSA,0.68,"Nível é range de domingo (Globex, mais espúrio), distância de 4.75pt é grande e horário 10:35 ET já foge da abertura, reduzindo qualidade do sinal."
2025-07-07,10:41,LONG,22914.50,6.75,True,RECUSA,0.68,"Nível de Globex (mais espúrio) tocado às 10:41, fora da janela de abertura, com distância de 6.75pt do nível - toque impreciso que reduz a confiabilidade da rejeição em um nível já menos confiável."
2025-07-07,10:45,LONG,22914.50,4.50,True,RECUSA,0.68,"Nível de domingo à noite (Globex) é mais espúrio, sinal ocorre já na manhã de segunda (10:45 ET, fora do horário de abertura) e a distância de 4.5pt do toque à linha indica rejeição pouco precisa, aumentando risco de falso sinal."
2025-07-07,10:51,LONG,22914.50,4.00,True,RECUSA,0.68,"Nível é range de domingo à noite (Globex), historicamente mais espúrio, e o toque ocorre tarde na manhã (10:51 ET), fora da janela inicial de maior confiabilidade da rejeição."
2025-07-07,11:16,LONG,22914.50,0.75,True,RECUSA,0.68,"Nível de Globex (mais espúrio) numa segunda-feira, já bem distante da abertura, com toque muito próximo da linha (0.75pt) e rejeição fraca — baixa confiabilidade do sinal."
2025-07-07,11:27,LONG,22914.50,3.25,True,RECUSA,0.68,"Nível Globex de domingo é mais espúrio, horário fora da abertura (11:27) reduz momentum, e distância de 3.25pt do nível sugere rejeição fraca/tardia."
2025-07-07,11:29,LONG,22914.50,4.00,True,RECUSA,0.68,"Nível de Globex (domingo à noite) é mais espúrio, horário já fora da abertura (11:29 ET) reduz momentum, e distância de 4pt do nível sugere rejeição pouco definida."
2025-07-07,11:31,LONG,22914.50,3.00,True,RECUSA,0.7,"Nível de Globex (domingo à noite) é mais espúrio, horário já fora da abertura (11:31 ET), e distância de 3pt do toque sugere rejeição fraca/pouco clara na linha."
2025-07-07,11:35,LONG,22914.50,4.25,True,RECUSA,0.68,"Nível de Globex (domingo à noite) é mais espúrio, horário já fora da abertura, e distância de 4.25pt do toque sugere rejeição pouco precisa na linha."
2025-07-07,11:38,LONG,22914.50,6.50,True,RECUSA,0.72,"Nível de Globex (mais espúrio), horário fora da janela de abertura, e distância de 6,5pt indica toque impreciso/sem rejeição limpa na linha."
2025-07-07,11:44,LONG,22914.50,3.50,True,RECUSA,0.68,"Nível de Globex (mais espúrio), horário fora da abertura, e distância de 3.5pt do toque à linha indica rejeição fraca/imprecisa para long."
2025-07-07,11:52,LONG,22914.50,2.75,True,RECUSA,0.68,"Nível de domingo à noite (Globex) é mais espúrio, sinal já tarde na manhã (11:52 ET) fora da janela de maior confiabilidade, e distância de 2.75pt é pequena, aumentando risco de rejeição fraca/whipsaw."
2025-07-07,11:57,LONG,22914.50,8.00,True,RECUSA,0.68,"Nível de domingo à noite (Globex) é mais espúrio, horário já fora da abertura (11:57 ET) e distância de 8pt do toque à linha indica pouca precisão na rejeição, aumentando risco de sinal falso."
2025-07-07,12:20,LONG,22914.50,1.50,True,RECUSA,0.68,"Nível de Globex (mais espúrio) tocado já na sessão da tarde (12:20 ET), fora da janela de maior confiabilidade da abertura, o que reduz a qualidade estatística do sinal apesar da rejeição válida."
2025-07-07,12:37,LONG,22914.50,6.75,True,RECUSA,0.72,"Nível de Globex (mais espúrio), toque com distância excessiva (6.75pt) e horário fora da janela de maior liquidez, reduzindo a qualidade da rejeição."
2025-07-09,10:49,SHORT,22962.75,1.00,False,ACEITA,0.68,"Nível de dia anterior (não Globex), horário de liquidez plena, toque preciso (1pt) e vela fechando abaixo da linha confirmando rejeição."
2025-07-09,10:51,SHORT,22962.75,14.50,False,RECUSA,0.68,"Distância de 14,5pt do nível é excessiva, indicando rompimento com força e não uma rejeição limpa na linha, aumentando risco de falso sinal de reversão."
2025-07-09,10:55,SHORT,22962.75,11.00,False,RECUSA,0.68,"Distância de 11pt até a linha é excessiva, indicando ultrapassagem forte do nível em vez de rejeição precisa, mesmo com fechamento abaixo."
2025-07-09,11:04,SHORT,22962.75,4.75,False,RECUSA,0.62,"Distância de 4,75pt além do nível é grande, indicando rompimento forte em vez de rejeição limpa, mesmo com fechamento abaixo da linha."
2025-07-09,11:21,SHORT,22962.75,8.25,False,RECUSA,0.65,"Distância de 8.25pt até a linha é grande, indicando rompimento com força e não uma rejeição limpa e precisa do nível."
2025-07-09,11:39,SHORT,22962.75,8.25,False,RECUSA,0.65,"Distância de 8,25pt é grande demais para o nível, indicando rejeição pouco precisa e maior risco de falso sinal."
2025-07-09,11:52,SHORT,22962.75,3.75,False,RECUSA,0.62,"Distância de 3.75pt até a linha é excessiva para uma rejeição limpa, sugerindo toque impreciso e menor probabilidade de reversão válida, mesmo com nível de dia anterior (não Globex) e horário aceitável."
2025-07-09,11:54,SHORT,22962.75,13.00,False,RECUSA,0.68,"Distância excessiva (13pt) entre o toque e a linha indica rompimento forte além do nível, não uma rejeição limpa na linha, aumentando risco de sinal espúrio."
2025-07-09,11:57,SHORT,22962.75,8.50,False,RECUSA,0.68,"Distância de 8.5pt até a linha é grande demais, indicando rompimento/teste distante e não uma rejeição limpa na própria linha, apesar do fechamento forte abaixo."
2025-07-09,12:01,SHORT,22962.75,5.25,False,RECUSA,0.6,"Distância de 5,25pt além do nível é grande demais para uma rejeição limpa, sugerindo rompimento forçado em vez de reversão técnica."
2025-07-09,12:06,SHORT,22962.75,1.00,False,ACEITA,0.68,"Nível do dia anterior (mais confiável que Globex), toque preciso (1pt) com fechamento claramente rejeitando abaixo da linha, dentro do horário líquido de RTH."
2025-07-09,12:09,SHORT,22962.75,9.25,False,RECUSA,0.65,"Distância de 9.25pt até a linha é grande, indicando ultrapassagem/wick longo sem rejeição limpa exatamente no nível, reduzindo a qualidade do sinal apesar do fechamento abaixo do toque."
2025-07-09,12:11,SHORT,22962.75,9.50,False,RECUSA,0.68,"Distância de 9.5pt até a linha é grande demais, indicando toque impreciso/pouco respeitado, apesar do fechamento (~9.5pt abaixo) sugerir rejeição - risco de sinal espúrio no meio do dia."
