data,hora,lado,dist_nivel,contratos,trail_mult,be_lock_frac,confianca,motivo
2025-06-13,13:00,LONG,4.25,5,1.0,0.75,0.7,"Sexta-feira, RTH normal, máx/mín do dia anterior. Sinal de qualidade média: dist_nivel de 4.25pt é moderada (não é toque perfeito, nem é muito longe). Horário 13:00 ET é bom (mercado líquido, ainda em fase ativa). Não há motivo pra aumentar risco, mas também não pra reduzir agressivamente. Padrão mantido."
2025-06-17,13:02,LONG,10.00,5,1.0,0.75,0.7,"Terça-feira, horário RTH normal (13:02 ET), nível de origem legítima (máx/mín do dia anterior). Distância de 10pt é moderada — não é um toque perfeito, mas também não é outlier. Sinal de qualidade média: mantém padrão em contratos, trailing e lock para não superestimar confiança, mas não reduz por ser RTH/terça em horário líquido."
2025-06-17,13:07,LONG,13.75,5,1.0,0.75,0.7,"Terça-feira, horário RTH normal (13:07 ET), nível de alta qualidade (máx/mín do dia anterior). Distância de 13.75pt é moderada — não é um toque perfeito mas também não é ruim. Sem razão pra desviar do padrão equilibrado: 5 contratos, trailing normal (1.0x), proteção padrão no breakeven (0.75)."
2025-06-17,13:30,LONG,2.50,5,1.0,0.75,0.7,"Terça-feira em RTH normal (13:30 ET), nível originário do máx/mín do dia anterior (base sólida). Distância de 2.50pt é moderada — não é toque perfeito, mas também não é ruidoso. Contexto favorável (dia útil, horário ativo, origem clara) compensa a imprecisão do toque. Padrão 5/1.0/0.75 é apropriado — sem razão concreta pra mudar."
2025-06-17,13:31,LONG,0.25,5,1.0,0.75,0.75,"Terça-feira, horário RTH normal (13:31 ET), nível de máx/mín do dia anterior (RTH) — origem sólida. Toque muito próximo da linha (0,25pt) indica alta qualidade do sinal. Mantém configuração padrão equilibrada para capturar ganho sem excesso de risco."
2025-06-17,13:33,LONG,13.25,5,1.0,0.75,0.65,"Terça-feira, RTH normal, horário mid-afternoon (13:33 ET). Nível de máx/mín do dia anterior é referência sólida. Porém dist_nivel de 13.25pt é moderadamente distante — não é um toque limpo (ideal <5pt). Confiança mediana: qualidade do sinal não é top, mas também não é fraca. Mantém padrão (5 contratos, trail 1,0, be_lock 0,75) sem agravamentos nem agressividades extras."
2025-06-17,13:41,LONG,13.00,5,1.0,0.75,0.7,"Terça-feira (dia de semana normal), horário RTH (13:41 ET), nível de origem legítima (max/min do dia anterior). Distância de 13pt é moderada — não é um toque perfeito na linha, mas também não é aberrante. Sem razão concreta para desviar dos padrões, mantém-se gestão neutra (5 contratos, trailing 1,0x, be_lock 0,75)."
2025-06-17,13:44,LONG,5.25,5,1.0,0.75,0.7,"Terça-feira, horário RTH normal (13:44 ET), nível de máx/mín do dia anterior (origem limpa). Distância 5.25pt é moderada — não é um toque perfeito, mas também não é ruim. Sem razão pra desviar dos padrões: mantém 5 contratos, trailing 1,75pt padrão e proteção 0,75 no breakeven. Qualidade média-boa, contexto institucional normal."
2025-06-18,14:58,LONG,9.75,5,1.0,0.75,0.7,"Quarta-feira, horário RTH consolidado (14:58 ET), nível de origem RTH (máx/mín dia anterior). Distância moderada (9.75pt) indica toque respeitável mas não perfeito. Sem sinais de baixa qualidade óbvios, mantém padrão (5/1.0/0.75). Confiança 0.70 por ser reversão de sinal discreto mas em horário e contexto sólidos."
2025-06-18,14:59,LONG,5.50,5,1.0,0.75,0.7,"Quarta-feira, RTH normal, máx/mín do dia anterior (nível confiável). Sinal em horário regular (14:59 ET), ainda dentro do pregão ativo. Distância de 5.50pt é moderada — não é toque perfeito, mas também não é muito longe. Mantém padrão conservador: 5 contratos, trailing 1.0x (1,75pt), be_lock 0,75 para proteção equilibrada sem cortar ganho prematuramente."
2025-06-18,15:00,LONG,8.00,5,1.0,0.75,0.65,"Quarta-feira, sinal LONG em máx/mín do dia anterior (RTH = origem de boa qualidade). Horário 15:00 ET está ainda na sessão normal, razoável. Porém dist_nivel = 8pt é significativa — não foi um toque muito próximo da linha, reduz confiança do sinal. Manter parâmetros padrão é a abordagem honesta: não há motivo concreto pra aumentar risco nem pra apertar demais. Confiança moderada (0.65) reflete a distância relativamente grande."
2025-06-18,15:02,LONG,5.25,5,1.0,0.75,0.75,"Quarta-feira, hora RTH normal (15:02 ET), nível de máx/mín do dia anterior (RTH) = contexto limpo. Distância de 5.25pt é razoável — não é toque perfeito (<2pt), mas também não é distante demais (>8pt). Qualidade média-alta, sem motivos para desviar dos padrões."
2025-06-20,11:01,SHORT,5.25,5,1.0,0.75,0.75,"SHORT em sexta-feira 11:01 ET, nível RTH do dia anterior (máx/mín), distância de 5.25pt é moderada — não é um toque perfeito, mas vem de um contexto válido. Sexta de manhã tem boa liquidez e volume ainda não está no pico do encerramento. Sem sinais de degradação extrema (nível Globex ou distância muito grande), mantenho padrão equilibrado: 5 contratos, trailing normal (1.75pt), BE lock em 0.75 do MFE. Confiança 0.75 reflete que é um sinal de qualidade moderada — bom o suficiente para não ser cauteloso, mas sem razão para agredir."
2025-06-20,11:04,SHORT,0.25,6,1.2,0.8,0.75,"Sexta-feira 11:04 ET, SHORT em nível RTH (dia anterior), toque muito próximo (0.25pt). Horário dentro do RTH, nível de boa qualidade. Aumentei contratos (6) por confiança do sinal + proximidade excelente do toque. Trail_mult 1.2 (ligeiramente acima do padrão) pra dar um pouco mais de respiração em sexta com potencial de continuação. be_lock_frac 0.8 (mais proteção) porque sexta pode ter reversões rápidas e é bom travar ganho mais seguro nesse dia."
2025-06-20,13:34,SHORT,1.50,5,1.0,0.75,0.75,"Sexta-feira, sinal RTH de máx/mín do dia anterior, toque muito próximo da linha (1.50pt). Horário 13:34 ET ainda dentro da sessão principal com boa liquidez. Qualidade de sinal acima da média — mantém padrão (5 contratos, trailing 1.75pt, lock de 75% do MFE no BE). Sem razão para apertar ou flexibilizar além do normal."
2025-06-20,13:37,SHORT,2.75,5,1.0,0.75,0.72,"SHORT em sexta à tarde (13:37 ET), nível RTH do dia anterior com toque a 2.75pt da linha. Qualidade moderada: dist_nivel acima do ideal (≤2pt seria ótimo), mas horário ainda tem volume/liquidez e origem é sólida (máx/mín RTH). Dia de semana normal, sem contexto de domingo/Globex. Mantém padrão 5 contratos / trail 1,0 / BE lock 0,75 por falta de motivo forte pra desviar."
2025-06-20,13:39,SHORT,10.50,5,1.0,0.75,0.7,"Sexta-feira no RTH (13:39 ET), nível de máx/mín do dia anterior — contexto normal. Distância de 10.50pt é moderada, não é toque aperto mas também não é especulativo. Sem razões pra desviar do padrão: 5 contratos, trailing 1.75pt, lock 75% do MFE. Confiança moderada (0.70) justificada pela distância e horário RTH adequado."
2025-06-23,09:35,SHORT,3.00,4,0.8,0.85,0.55,"Nível de origem Globex (domingo à noite) é mais espúrio e menos confiável que RTH. Distância de 3pt do toque já indica rejeição não perfeita. Horário 09:35 ET é cedo na sessão, ainda há volatilidade. Segunda-feira pode ter liquidação de fim de semana. Redução conservadora: menos contratos (4 vs 5), trailing mais apertado (0,8 vs 1,0) pra travar ganho antes, be_lock_frac elevado (0,85) pra proteger MFE assim que breakeven ativar. Confiança moderada (0,55)."
2025-06-25,11:34,SHORT,14.50,5,1.0,0.75,0.7,"SHORT em máx/mín RTH anterior (quarta-feira, 11:34 ET = horário RTH normal). Distância de 14.50pt é moderada — não é um toque limpo (ideal seria <5pt), mas também não é excessivamente longe. Sinal aceitável, sem destaque extraordinário. Mantém padrão: 5 contratos, trailing normal (1,75pt) e lockdown moderado no BE. Confiança 0.70 reflete a qualidade média do setup."""
2025-06-25,11:41,SHORT,6.50,5,1.0,0.75,0.7,"Sinal SHORT em quarta-feira, horário RTH mid-morning (11:41 ET). Nível origem é máx/mín do dia anterior (RTH), que é sólido. Distância de 6.50pt é moderada — não é toque perfeito (muito próximo) nem demasiado longe. Qualidade média: mantém padrão 5 contratos, trailing neutro 1.0x (1.75pt) e be_lock_frac conservador 0.75 para proteger ganho quando breakeven ativa. Não há motivo para aumentar risco ou agressividade além do padrão."
2025-06-25,11:43,SHORT,5.50,5,1.0,0.75,0.75,"SHORT em reversão de topo, quarta-feira (meio de semana, boa liquidez), RTH normal. Sinal de qualidade moderada: dist_nivel de 5.50pt é razoável (nem muito próximo, nem muito longe). Horário 11:43 ET está em zona de atividade normal. Mantém parâmetros padrão (5 contratos, trail 1.0x, BE lock 0.75) por falta de razões fortes para desvios extremos."
2025-06-25,11:47,SHORT,6.00,5,1.0,0.75,0.7,"SHORT em máx/mín do dia anterior (RTH), 11:47 ET quarta-feira. Dist_nivel 6pt é moderada — nem toque perfeito nem distante demais. Horário no meio da sessão RTH, contexto normal, nível de qualidade razoável. Sem fatores de destaque que justifiquem desvio dos padrões. Usando configuração equilibrada: 5 contratos, trailing padrão (1.0), be_lock_frac neutro (0.75)."
2025-06-25,11:59,SHORT,4.50,5,1.0,0.75,0.7,"Sinal SHORT em quarta-feira (meio de semana, bom) às 11:59 ET (fim de pregão normal, volatilidade típica). Nível de máx/mín RTH do dia anterior = contexto sólido. Distância de 4.50pt é moderada — não é um toque milimétrico (mais risky) nem tão longe (melhor). Mantendo padrão 5/1.0/0.75 por falta de motivo forte pra mudar: qualidade de sinal e contexto horário/dia dentro do esperado."
2025-06-25,12:06,SHORT,1.25,5,1.0,0.75,0.75,"Quarta-feira, horário RTH (12:06 ET), nível de reversão do dia anterior (máx/mín). Distância pequena (1.25pt) indica toque bem próximo — boa qualidade do sinal. SHORT em topo: padrão robusto. Sem fatores negativos (não é domingo/Globex, dist_nivel é curta, hora é durante RTH normal). Mantém configuração padrão: 5 contratos, trailing 1.0x, proteção 0.75 no breakeven."
2025-06-25,12:07,SHORT,1.75,5,1.0,0.75,0.75,"Quarta-feira em RTH normal (12:07 ET). Nível de máx/mín do dia anterior é referência sólida. Toque a 1.75pt de distância é razoável (não extremo, mas não está em cima). Sem motivos para desviar dos padrões — mantém configuração neutra/equilibrada."
2025-06-25,12:09,SHORT,8.75,5,1.0,0.75,0.7,"Sinal SHORT em quarta (dia neutro), horário 12:09 ET (sessão RTH normal). Nível proveniente de máx/mín do dia anterior (contexto sólido). Distância de 8.75pt sugere toque não perfeito mas ainda aceitável. Sem razões para aumentar agressividade, mantém-se padrão (5 contratos, trail 1,75pt, BE lock 75%) — qualidade moderada do sinal não justifica ajustes extremos."
2025-06-25,12:14,SHORT,5.50,5,1.0,0.75,0.7,"Quarta-feira, horário RTH normal (12:14 ET), nível proveniente de máx/mín do dia anterior — contexto sólido. Porém, distância de 5.50pt é considerável, indicando um toque menos preciso e menor qualidade do sinal. Mantém-se o padrão (5 contratos, 1.0x, 0.75) como referência segura, sem justificativa forte para desvios agressivos. SHORT em topo de dia anterior é setup clássico, confiança moderada (~70%)."
2025-06-25,12:19,SHORT,7.50,5,1.0,0.75,0.7,"Sinal SHORT em quarta-feira, meio do dia RTH. Nível de máx/mín do dia anterior (origem sólida). Distância de 7.50pt é moderada — não é toque pristino, mas também não é longe demais. Contexto de dia útil normal, sem ruído de domingo/Globex. Mantendo padrão conservador: 5 contratos, trailing 1.0x (1.75pt), lock 0.75. Qualidade média-alta justifica confiança 0.7 mas sem agressividade extra."
2025-06-25,12:33,SHORT,8.00,5,1.0,0.75,0.7,"Quarta-feira, horário intraday (12:33 ET), nível de máx/mín do dia anterior (RTH - qualidade média). Distância de 8pt é moderada — não é um toque perfeito (que seria <3pt), mas também não é tão longe. Mantém configuração padrão com confiança ligeiramente acima do neutral (0.70) porque: (1) RTH é mais confiável que Globex, (2) quarta tem boa liquidez e volatilidade previsível, (3) SHORT em topo intraday é setup clássico. Ajuste mínimo mantém risco/retorno equilibrado."
2025-06-25,12:57,SHORT,5.00,5,1.0,0.75,0.75,"Sinal SHORT em quarta-feira (dia meio de semana, liquidez normal). Nível origem: máx/mín RTH anterior (confiável). Hora: 12:57 ET (ainda em horário RTH, sem efeitos de abertura ou encerramento). Distância de 5pt é moderada — não é toque perfeito, mas aceitável. Sem sinais de stress extremo, mantém padrão (5 contratos, trail 1,0x, be_lock 0,75). Qualidade média-alta justifica manter defaults."
2025-06-25,13:00,SHORT,5.50,5,1.0,0.75,0.75,"Quarta-feira 13:00 ET, nível RTH (máx/mín dia anterior), dist_nivel 5.50pt é razoável (não muito próximo, não muito longe). Horário e dia bons, sem sinais de redução de qualidade. Mantém padrão equilibrado: 5 contratos, trailing 1.75pt, lock em 75% do MFE."
2025-06-25,13:16,SHORT,3.50,5,1.0,0.75,0.7,"Sinal SHORT em quarta-feira (meio de semana, sem ruído de fim de semana). Horário 13:16 ET = RTH normalmente ativo. Nível vem de máx/mín do dia anterior (RTH), origem confiável. Distância de 3.50pt é moderada — não é toque perfeito mas também não é especulativo. Mantém padrão conservador (5 contratos, trail 1.0, be_lock 0.75) dado que a qualidade do sinal é mediana: nem excelente (seria dist<1.5pt) nem fraca (seria dist>5.5pt)."
2025-06-25,13:19,SHORT,3.75,5,1.0,0.75,0.7,"SHORT em horário RTH normal (13:19 ET, quarta-feira). Nível de origem legítima (máx/mín do dia anterior RTH). Distância dist_nivel = 3.75pt é moderada — não é toque perfeito (< 2pt) nem afastado demais (> 6pt). Sinal de qualidade média. Mantém padrão (5 contratos, trail 1.0x, be_lock 0.75) sem mudanças agressivas."
2025-06-25,13:32,SHORT,3.00,5,1.0,0.75,0.7,"Quarta-feira, horário RTH intra-dia (13:32 ET), nível do dia anterior (RTH) bem estabelecido. Distância de 3pt é moderada (não é toque super próximo, mas tb não é toque fraco). Contexto normal sem sinais de piora (não é fim de expedição, não é fim de semana, não é nível de domingo). Mantém padrão conservador."
2025-06-25,15:09,SHORT,4.25,5,1.0,0.75,0.7,"Sinal SHORT em quarta-feira 15:09 ET. Nível originário de máx/mín RTH do dia anterior (qualidade média-alta). Distância de 4.25pt é moderada — não é toque perfeito, mas aceitável. Horário dentro de RTH com volume ainda presente. Mantém configuração padrão (5 contratos, trail 1,0x, BE lock 0,75) por falta de motivos concretos para desvio significativo. Confiança 0,70 reflete a qualidade média do sinal."
2025-06-25,15:17,SHORT,2.25,5,1.0,0.75,0.75,"Sinal SHORT com qualidade moderada-boa: origem RTH sólida (max/min do dia anterior), dia de semana normal (quarta), horário meio de tarde (15:17 ET) com liquidez razoável. Distância de 2.25pt indica toque próximo mas não perfeito — sugere menos pressão de compra mas sem rejeição violenta. Valores padrão apropriados para não agredir em sinal de qualidade intermediária."
2025-06-25,15:19,SHORT,3.50,5,1.0,0.75,0.75,"SHORT em máx/mín RTH (origem confiável), quarta-feira no RTH, distância moderada (3.50pt). Sinal de qualidade média-alta: nível de dia anterior é mais estável que Globex, mas a distância de 3.50pt sugere não é um toque perfeito. Horário 15:19 ET está no final da sessão mas ainda RTH. Mantém padrão conservador (5 contratos, trailing 1.75pt, 75% MFE travado no BE) sem necessidade de ajustes significativos."
2025-06-25,15:30,SHORT,7.75,5,1.0,0.75,0.7,"SHORT em quarta-feira, 15:30 ET (meio da tarde, boa liquidez). Nível do dia anterior RTH (forte e confiável). Distância de 7.75pt é moderada — não é um toque perfeito mas também não é espúrio. Qualidade média-alta. Parâmetros padrão mantidos: 5 contratos, trail 1.75pt, lock 75% do MFE no BE. Confiança 0.7 reflete a distância um pouco maior."
2025-06-25,15:44,SHORT,4.25,5,1.0,0.75,0.7,"SHORT em topo, quarta-feira (dia útil forte), horário RTH consolidado (15:44 ET), nível de máx/mín do dia anterior (estrutura clara). Distância de 4.25pt é moderada — não é um toque perfeito, mas aceitável. Mantém padrão conservador (5 contratos, trailing 1,0, be_lock 0,75) porque a qualidade do sinal não justifica agressividade extra, mas também não requer redução."
2025-06-25,15:46,SHORT,9.00,5,1.0,0.75,0.7,"Sinal SHORT em quarta-feira, 15:46 ET (horário RTH normal). Nível de máx/mín do dia anterior (RTH) tem boa confiabilidade estrutural. Distância de 9pt é moderada — não é um toque perfeito (<3pt), mas também não é um nível espúrio (>15pt). Horário é adequado (não pré-abertura nem últimas barras). Mantém perfil padrão (5/1,0/0,75) sem razão concreta para desvio maior."
2025-06-25,15:51,SHORT,5.25,5,1.0,0.75,0.75,"Sinal SHORT em quarta (dia líquido, bom volume). Nível RTH (máx/mín dia anterior) = origem legítima. Horário 15:51 ET ainda dentro RTH com liquidez forte. Distância de 5.25pt é moderada — não é toque perfeito mas também não é especulativa. Mantém padrão: 5 contratos, trailing 1,0x (1.75pt), proteção 75% no breakeven."
2025-06-25,15:54,SHORT,1.25,5,1.0,0.75,0.7,"Sinal SHORT no topo, quarta-feira (dia neutro), RTH normal. Distância de 1.25pt é aceitável — não está muito longe da linha, sugerindo um toque válido. Horário 15:54 ET ainda está em período de liquidez razoável (faltam ~25min pro close). Nenhum fator de risco extraordinário. Mantém perfil padrão: 5 contratos, trailing 1,75pt (trail_mult=1,0), lock de 75% do MFE no breakeven."
2025-06-25,15:56,SHORT,0.75,5,1.0,0.75,0.75,"Sinal SHORT em quarta-feira, 15:56 ET. Nível RTH (máx/mín do dia anterior), toque muito próximo (0.75pt = excelente qualidade). Horário permite movimento ainda, dia da semana neutro. Sem razão pra desviar dos padrões — mantém perfil balanced. Confiança 0.75 reflete toque preciso mas timing próximo ao fechamento."
2025-06-25,15:58,SHORT,3.00,5,1.0,0.75,0.7,"SHORT em máx/mín dia anterior (RTH), quarta-feira 15:58 ET. Dist_nivel 3.00pt = toque moderado (não perfeito, mas aceitável). Horário final do dia reduz janela de movimento. Padrão conservador: 5 contratos, trailing padrão (1.0x = 1,75pt), be_lock moderado (0.75). Qualidade média do sinal justifica não ser agressivo demais."
2025-06-26,09:33,SHORT,9.75,5,1.0,0.75,0.72,"SHORT em topo, quinta-feira (RTH normal), nível do dia anterior (origem sólida). Sinal de qualidade moderada-boa: horário regular (09:33 ET), distância 9.75pt é pequena o suficiente pra considerar um toque respeitável. Sem fatores de ""fragilidade"" (domingo/Globex, distância muito grande). Mantém parâmetros padrão — sinal não tem características extremas que justifiquem alavancagem extra nem proteção excessiva."
2025-06-26,09:35,SHORT,13.25,5,1.0,0.75,0.72,"SHORT em quinta-feira, 09:35 ET (horário RTH normal), nível do máx/mín do dia anterior (RTH, origem confiável). Distância de 13.25pt é moderada — não é um toque perfeito (<5pt), mas também não é longe demais (>25pt). Qualidade do sinal acima da média. Mantém padrão para contratos (5) e trailing (1.0), be_lock_frac padrão (0.75). Confiança ~72% pelo contexto equilibrado."
2025-06-26,10:00,SHORT,4.50,5,1.0,0.75,0.72,"Quinta-feira 10:00 ET, sinal SHORT em máx/mín RTH do dia anterior. Distância de 4.50pt é moderada — não é toque perfeito, mas nível é legítimo (RTH normal, não Globex). Horário é razoável (ainda em RTH precoce). Qualidade média → padrão 5 contratos. Sem motivo concreto pra aumentar risco (dist_nivel não é pequena) nem pra mudar trailing ou lock (contexto equilibrado)."
2025-06-26,10:07,SHORT,4.75,5,1.0,0.75,0.7,"SHORT em nível RTH (máx/mín anterior), quinta-feira 10:07 ET (horário RTH normal, bom volume esperado). Distância de 4.75pt é moderada — não é toque perfeito mas não é tão longe. Sem sinais de alerta crítico. Padrão mantido: 5 contratos, trailing 1.75pt, breakeven lock 75%. Confiança 70% por causa da dist_nivel um pouco acima do ideal (< 3pt seria melhor)."""
2025-06-26,10:09,SHORT,0.25,6,0.9,0.8,0.85,"SHORT em topo, quinta-feira (dia de volume bom), horário 10:09 ET (meia abertura, líquido), nível RTH do dia anterior, toque MUITO próximo (0.25pt) = sinal de alta qualidade. Aumentei contratos (6) pela proximidade exata, trail_mult ligeiramente mais apertado (0.9) pra proteger ganho inicial em SHORT com toque tão limpo, be_lock_frac mais alto (0.80) pra garantir lucro quando breakeven ativa em venda de topo bem executada."
2025-06-27,14:19,SHORT,0.75,5,1.0,0.75,0.75,"SHORT sexta-feira 14:19 ET, nível RTH (máx/mín dia anterior), toque muito próximo (0.75pt). Qualidade boa, horário ainda dentro do core trading, dia normal (não é domingo/Globex). Sem razão pra desviar dos padrões — mantém configuração balanceada."
2025-06-27,14:21,SHORT,4.25,5,1.0,0.75,0.7,"Sexta-feira, 14:21 ET (meio de sessão RTH). Nível de máx/mín do dia anterior é sólido e reconhecível. Distância 4.25pt é moderada — não é toque perfeito (0-1.5pt), mas também não é ruim. Qualidade média-boa = mantém defaults (5 contratos, 1.0x trail, 0.75 be_lock). Sem razão concreta pra aumentar risco ou apertar demais."
2025-06-27,14:23,SHORT,13.50,5,1.0,0.75,0.7,"Sexta-feira 14:23 ET, SHORT no máx anterior RTH. Dist_nivel 13.50pt é razoável (não é toque super próximo, mas vem de nível RTH válido). Horário e dia normais, sem stress de Globex/domingo. Qualidade média — mantém padrão 5/1.0/0.75 com confiança 0.70. Não há razão pra ser agressivo nem conservador demais."
2025-06-27,14:24,SHORT,4.00,5,1.0,0.75,0.7,"SHORT em sexta à tarde (14:24 ET), nível de máx/mín do dia anterior (RTH - origem sólida). dist_nivel de 4.00pt é moderado — não é um toque perfeito, mas também não é distante demais. Sexta à tarde tem volatilidade mais baixa e menos volume, o que reduz confiança ligeiramente. Mantém setup padrão (5 contratos, trailing 1,75pt, be_lock 75%) como balanço apropriado para qualidade mediana-alta e contexto de final de semana."
2025-06-27,14:27,SHORT,0.50,5,1.0,0.75,0.75,"Sexta-feira, sinal SHORT em topo do dia anterior (RTH). Toque muito próximo (0.50pt) = alta qualidade. Horário 14:27 ET = ainda dentro de RTH com volume. Nível originário é confiável (não é Sunday Globex). Mantém padrão conservador — sem razão para aumentar risco, mas também sem razão para apertar demais. Confiança 0.75 reflete o timing bom e proximidade excelente do toque."
2025-06-27,15:34,SHORT,4.75,5,1.0,0.75,0.7,"Sexta à tarde (15:34 ET), nível de máx/mín RTH do dia anterior (origem legítima). Distância de 4.75pt é moderada — não é um toque de alta precisão, mas também não é ruim. Sinal SHORT em reversão no final do dia de sexta tem menos volume e liquidez que no início da semana, o que aumenta risco de inércia ou slippage. Mantendo padrão conservador: 5 contratos, trailing 1.0x (1.75pt padrão) para não ser muito restritivo no final do dia, e be_lock de 0.75 para proteção equilibrada quando breakeven ativar."
2025-06-27,15:37,SHORT,3.75,5,1.0,0.75,0.7,"SHORT em sinal RTH de qualidade moderada (3.75pt de distância, toque com pequeno afastamento). Sexta 15:37 ET é horário com volume razoável mas próximo do encerramento (RTH fecha 16:00). Nível de máx/mín anterior é suporte/resistência clara. Sem sinais de especulação (não é domingo/Globex). Mantendo padrão (5 contratos, trailing 1,75pt, BE lock 75%) por falta de motivo concreto pra divergir — distância de 3.75pt é pequeno afastamento mas não mínimo, e proximidade do fecho reduz confiança relativa. Risco normal, sem alavancagem ou travagem excessiva."
2025-06-30,09:31,SHORT,10.50,4,0.8,0.8,0.55,"Sinal de qualidade média-baixa: nível originário de domingo/Globex (menos confiável que RTH), distância grande (10.50pt) do toque até linha de referência, e segunda-feira 09:31 (início de semana em horário cedo). Reduz contratos (4 vs 5) e trava ganho mais cedo (be_lock 0.8, trail 0.8x) para proteger contra possível continuação do gap ou volatilidade atípica de abertura."
2025-06-30,15:22,SHORT,3.25,4,0.8,0.8,0.55,"Nível de domingo/Globex (menos confiável), dist_nivel 3.25pt (toque não tão próximo), segunda-feira 15:22 ET (próximo do fechamento, menos volume). Redução prudente: 4 contratos (vs padrão 5), trailing mais apertado (0.8x = 1.4pt) para proteger ganho cedo, be_lock_frac 0.8 (mais conservador) dado o contexto espúrio do nível. Confiança 0.55 reflete a qualidade menor do sinal."
2025-06-30,15:24,SHORT,3.75,4,0.8,0.8,0.55,"Sinal de qualidade média-baixa: (1) nível de domingo/Globex é tipicamente mais espúrio e menos confiável que RTH; (2) dist_nivel de 3.75pt é considerável, indica toque não tão preciso; (3) hora 15:24 ET é final de sessão, liquidez em declínio; (4) segunda-feira pode ter volatilidade residual. Reduz contratos (4 vs padrão 5), trail mais apertado (0.8 para proteger ganho mais cedo), e be_lock mais alto (0.8 para garantir lucro quando breakeven ativa). Confiança 0.55 reflete incerteza moderada."
